shared memory
45,2991
153,627
39,9799
29,6729
27,6483
26,1659
26,3671
26,8096
26,8581
25,5906
26,5327
25,4254
26,4627
25,8981
27,1438
26,3174
26,3549
26,7624
26,755
25,9814
26,2206
25,4672
26,046
26,4463
26,9038
26,4379
25,9073
26,4223
26,5487
25,4089
25,9324
25,2042
27,7606
26,0149
26,2971
26,4066
26,4073
26,1866
25,1408
25,941
25,4028
25,7813
26,2778
26,3369
26,2849
25,8639
25,0548
25,4622
25,7989
25,2954
26,0921
25,9502
26,0134
26,9372
25,2327
25,6652
25,4336
25,9011
25,9353
26,1936
25,8117
26,3623
26,1425
25,8309
26,5286
25,5957
25,4005
25,9861
25,6343
25,98
25,7645
25,4379
26,0769
25,7897
29,2334
27,9912
29,3827
25,9859
26,4004
25,8657
26,0448
25,8389
25,2084
26,0371
25,8719
25,7203
26,3622
26,5971
26,2377
26,5884
30,2397
25,8753
25,3409
25,9983
26,6531
25,8677
26,3431
25,8937
25,6453
26,7302
26,2536
25,2102
26,0666
25,5297
25,6178
26,5343
26,6944
25,7803
25,6063
25,4519
25,6199
25,4724
25,6673
25,9097
26,1672
26,1031
26,3045
26,2162
25,5097
25,8385
25,5096
25,768
25,8987
26,2142
26,1073
25,9072
25,2386
25,8046
25,4875
25,8019
25,1881
25,457
25,6708
25,764
26,1477
26,4552
26,0808
26,2032
30,1133
25,5655
26,0297
26,8107
25,7151
25,3625
26,0357
26,1206
25,2761
25,3974
26,421
26,4859
26,0647
26,2664
25,9282
25,4617
25,9604
26,1708
25,5565
25,7934
26,3162
26,2575
26,1509
26,5214
26,076
25,5185
25,0966
25,6572
28,9936
26,2092
26,5231
26,0663
26,0165
26,2199
25,1328
25,9044
26,2011
26,067
25,4124
26,471
26,144
29,0266
25,63
25,2683
26,045
26,637
25,6173
26,2931
26,2823
26,1211
26,2761
25,249
25,4302
25,7278
25,8869
25,3618
25,7654
26,2169
26,2592
26,3156
25,9283
25,1903
25,8955
25,5445
25,2397
26,4175
25,8853
26,2188
26,1326
26,1902
25,3785
25,5634
25,3997
25,9161
26,3525
27,0975
26,7768
25,7417
25,454
25,9158
25,2761
25,294
26,3681
26,2694
26,1373
26,1011
25,5251
25,8724
25,7643
25,1817
25,3003
25,7408
25,8991
25,9298
25,0743
25,8286
25,9358
27,7069
27,9816
28,2556
28,1453
28,3639
28,8911
32,5485
28,4735
28,1879
30,38
29,4989
32,4229
28,6868
28,7269
28,1688
30,0879
28,2266
28,1037
28,1531
28,2822
28,1756
28,1386
28,3478
28,184
28,4398
28,117
29,1804
34,1712
29,9144
28,4749
29,6457
28,0458
28,1928
29,4245
28,7285
28,9003
28,7886
28,8277
29,9881
31,6428
28,7976
27,6066
29,2762
28,2613
28,6032
28,4411
28,3931
35,5295
29,6559
29,5029
29,1758
29,4028
30,1808
28,6896
28,3097
29,0115
29,2136
28,2882
29,2665
29,137
28,3312
