calculation time;drawing time
330,94;21,1766
327,585;20,9269
320,061;21,2565
313,487;20,4888
314,612;20,7054
324,722;21,7672
321,184;21,2251
325,776;21,1481
319,823;20,5748
319,789;20,4484
318,164;21,0711
326,159;20,8443
316,533;21,5957
345,956;21,3849
332,778;21,4094
324,262;22,0889
328,034;21,3176
319,192;20,9486
328,837;21,4204
328,078;21,1402
316,37;21,01
323,381;20,9828
338,23;24,6611
320,419;21,5292
323,065;20,7639
330,552;21,3353
329,149;20,8355
322,444;20,7995
324,338;21,7319
325,904;20,7869
324,333;22,0713
320,474;24,2096
330,213;21,157
331,902;21,309
326,668;21,2575
323,507;21,9047
329,709;21,3058
326,781;21,9866
324,294;21,4746
323,762;22,0044
323,816;21,1218
328,97;22,6565
332,505;22,2331
327,757;21,4029
327,41;20,9076
330,18;21,8925
328,517;20,5815
340,002;22,6119
325,855;21,7094
324,951;20,5681
324,075;21,3019
334,82;20,6227
338,635;21,5843
329,289;21,0754
328,601;22,4076
336,277;20,7188
319,628;20,8462
320,776;20,568
325,298;21,1713
318,998;20,3197
316,101;20,8941
324,21;21,4053
323,119;20,7408
324,188;21,0161
327,036;20,6476
336,913;21,6908
323,957;22,5683
339,679;21,8052
324,375;22,844
321,946;20,9417
319,385;20,9864
325,912;20,2243
324,555;21,2852
321,734;21,666
329,891;21,0726
324,306;20,6567
378,811;20,6797
326,734;20,6312
319,865;20,6073
348,381;20,4672
334,07;21,5089
330,617;21,5347
321,041;21,0554
321,86;21,2463
325,785;21,2663
318,086;21,8928
325,137;20,2788
367,518;21,9923
321,77;21,1406
320,755;20,8744
318,08;20,7984
328,126;20,9076
319,665;21,4303
319,162;20,4867
325,932;20,6345
325,748;21,3541
329,416;21,0519
324,945;20,3726
329,449;20,6232
323,802;21,5637
321,197;21,224
324,215;20,4677
329,34;21,0267
323,936;20,9952
328,123;20,7289
327,194;20,5169
320,516;21,5797
323,929;21,5386
322,607;20,7919
323,829;20,876
316,884;21,049
329,652;21,7337
328,122;20,5032
318,617;21,4468
323,651;21,3607
330,261;21,2639
317,777;21,702
333,184;21,1775
325,791;21,2238
322,404;20,8941
335,085;21,9674
327,073;20,4653
333,777;21,3821
318,12;21,4513
331,504;23,397
326,248;21,261
321,337;21,063
329,355;20,4777
316,609;20,5664
320,018;21,5235
319,191;20,5351
331,179;21,7057
322,47;21,1078
323,053;21,7176
327,248;20,618
316,292;20,2232
316,192;21,6593
325,796;20,956
319,337;20,667
326,207;20,971
322,696;21,4376
320,309;22,0138
338,74;21,1836
316,08;21,1803
322,515;23,3842
322,717;20,2676
315,051;21,3466
324,355;20,664
325,93;21,0253
327,268;21,2022
329,631;20,8384
323,284;20,821
318,168;21,3484
321,865;21,3298
320,426;20,8819
333,078;21,3593
327,005;20,8968
324,081;21,2807
331,329;21,6584
333,813;23,2479
334,729;21,7227
317,683;20,4986
321,22;21,5061
334,875;21,3407
320,695;21,7445
328,897;21,429
330,227;20,9454
329,982;20,9798
337,278;20,9647
328,973;20,8327
319,612;21,1976
320,549;21,1525
325,782;22,3767
333,405;21,7621
329,547;21,3517
324,242;22,0961
323,066;21,4529
331,972;20,3057
321,351;21,3193
325,587;20,0839
321,617;20,9337
332,618;21,5486
324,753;21,8116
323,32;20,8501
335,769;21,3201
337,334;22,9091
323,756;21,643
325,297;21,3649
319,743;21,1177
333,706;21,8568
328,771;21,8018
335,258;21,2533
316,853;20,4912
316,671;20,7421
324,363;21,6632
319,538;21,4553
327,32;21,8283
331,849;20,8512
322,651;21,0129
322,87;22,0927
326,972;20,6182
329,143;21,9213
321,957;21,3723
324,469;22,1548
322,864;20,9371
330,997;21,252
323,016;20,8335
313,86;21,5447
334,393;21,7986
323,941;21,266
320,052;21,5792
318,736;20,9359
321,436;21,1165
326,913;21,5917
319,745;20,5594
325,686;21,2016
321,305;22,0474
323,383;20,865
322,023;20,1532
329,313;20,9361
326,547;21,2196
317,343;21,4766
321,388;21,0135
332,79;21,2948
314,195;21,4514
324,954;20,7736
328,951;20,5262
333,562;21,1043
322,543;21,1805
323,436;20,8033
316,549;21,1618
314,99;20,5588
322,621;20,5816
317,184;21,2698
321,369;20,9722
324,452;21,0693
320,767;21,6306
318,344;21,2329
327,11;21,641
317,428;21,4678
324,27;21,1963
320,33;20,5938
331,182;21,8541
315,59;20,7987
326,433;21,2234
332,299;21,6274
321,507;21,5946
319,833;20,4474
328,67;20,8367
328,833;21,5547
322,611;21,6184
331,025;22,2208
326,451;20,7439
330,692;21,2291
339,109;21,8579
333,188;22,5162
323,903;22,1175
334,288;21,7544
329,002;20,4767
323,599;23,124
331,335;23,216
355,928;21,406
323,396;19,9373
326,885;20,944
338,319;22,1952
324,64;21,2188
332,499;21,1438
318,555;21,2133
313,756;21,4957
323,51;21,2856
320,744;21,3591
326,491;20,8437
327,145;20,357
318,269;20,6876
320,643;20,8101
321,892;21,3769
314,33;21,0735
325,774;21,6567
329,895;20,7104
316,932;22,4764
329,25;21,147
331,186;21,6695
324,812;21,6518
332,519;21,0092
333,888;20,8623
336,241;21,392
335,476;21,028
322,143;21,1473
323,968;20,5812
324,916;22,7133
327,719;20,896
334,1;20,9604
327,735;20,9099
323,385;20,3128
322,174;20,4696
326,118;21,2454
321,766;20,8512
332,411;21,4023
325,371;21,4445
335,135;20,1841
333,091;20,8361
332,785;20,9605
333,353;21,6505
318,919;20,3791
324,005;21,8702
327,061;21,3666
332,252;20,9333
317,688;21,2561
326,85;22,0488
322,907;20,6733
325,409;21,902
313,731;20,2576
320,409;20,0274
309,293;21,3393
325,793;21,2986
326,177;20,4365
317,836;23,064
331,919;21,2486
328,741;20,8269
325,037;20,5245
317,398;21,2987
405,159;22,9213
437,742;26,3746
381,754;23,3345
376,541;24,2305
417,513;25,1701
385,826;21,4837
392,622;25,0992
425,521;25,2049
417,325;24,3153
402,444;27,7125
408,999;26,0885
447,258;30,446
400,413;34,1634
410,688;23,8953
384,961;24,3026
400,618;24,6429
397,195;28,2815
421,443;25,8071
419,659;25,934
377,021;25,8863
428,305;24,977
440,69;27,8274
370,746;23,0641
417,806;23,4406
412,809;31,1814
505,596;29,3979
364,737;21,9485
327,921;21,2483
328,334;21,134
327,798;24,9671
327,225;21,0069
332,551;21,1582
326,994;21,6926
333,137;21,5171
333,356;20,9486
325,626;21,1498
325,159;20,8679
331,647;21,524
329,259;21,3452
